Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
H10,Mousebite,mouse-bite-2mm-slot,196.2625,-76.85,0.0,top
H11,Mousebite,mouse-bite-2mm-slot,217.7625,-76.85,0.0,top
H12,Mousebite,mouse-bite-2mm-slot,131.7625,-108.85,0.0,top
H13,Mousebite,mouse-bite-2mm-slot,153.2625,-108.85,0.0,top
H14,Mousebite,mouse-bite-2mm-slot,174.7625,-108.85,0.0,top
H15,Mousebite,mouse-bite-2mm-slot,196.2625,-108.85,0.0,top
H16,Mousebite,mouse-bite-2mm-slot,217.7625,-108.85,0.0,top
H7,Mousebite,mouse-bite-2mm-slot,131.7625,-76.85,0.0,top
H8,Mousebite,mouse-bite-2mm-slot,153.2625,-76.85,0.0,top
H9,Mousebite,mouse-bite-2mm-slot,174.7625,-76.85,0.0,top
J1,ALPHA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,133.7125,-130.55,180.0,top
J10,Why B 0,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,147.8125,-98.55,180.0,bottom
J12,Why C 0,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,133.3125,-98.55,180.0,bottom
J13,Stereo 0,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,132.6125,-54.955,0.0,top
J15,Stereo 1,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,138.8625,-54.955,0.0,bottom
J16,Stereo 2,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,145.1125,-54.955,0.0,top
J17,Stereo 3,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,151.3792,-54.955,0.0,bottom
J18,Stereo 4,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,157.6125,-54.955,0.0,top
J19,Stereo 5,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,163.8958,-54.955,0.0,bottom
J2,ALPHA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,146.2125,-130.55,180.0,top
J20,Stereo 6,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,170.1125,-54.955,0.0,top
J21,Stereo 7,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,176.4125,-54.955,0.0,bottom
J22,Stereo 8,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,182.6125,-54.955,0.0,top
J23,HDMI,HDMI_A_Molex_208658-1001_Horizontal,213.3625,-52.69,90.0,top
J24,Mono,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,195.1125,-54.955,0.0,bottom
J25,Why A 1,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,162.3125,-98.55,180.0,bottom
J26,Why B 1,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,155.0625,-98.55,180.0,top
J27,Why C 1,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,169.5625,-98.55,180.0,top
J28,Why A 3,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,205.8125,-98.55,180.0,bottom
J29,GAMMA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,152.4625,-130.55,180.0,bottom
J3,ALPHA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,158.7125,-130.55,180.0,top
J30,Why B 3,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,198.5625,-98.55,180.0,top
J31,Why C 3,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,213.0625,-98.55,180.0,top
J32,GAMMA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,164.9625,-130.55,180.0,bottom
J33,DELTA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,177.4625,-130.55,180.0,bottom
J34,Why A 2,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,184.0625,-98.55,180.0,top
J35,Why B 2,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,176.8125,-98.55,180.0,bottom
J36,Why C 2,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,191.3125,-98.55,180.0,bottom
J37,C/D,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,189.9625,-130.55,180.0,bottom
J38,C/D,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,202.4625,-130.55,180.0,bottom
J39,C/D,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,214.9625,-130.55,180.0,bottom
J4,BETA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,171.2125,-130.55,180.0,top
J5,A/B,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,183.7125,-130.55,180.0,top
J6,A/B,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,196.2125,-130.55,180.0,top
J7,A/B,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,208.7125,-130.55,180.0,top
J8,A/GAMMA,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,139.9625,-130.55,180.0,bottom
J9,Why A 0,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,140.5125,-98.55,180.0,top
